port,count
443/tcp,12873196
80/tcp,2547951
53/udp,971353
443/udp,513623
5223/tcp,430793
445/tcp,423684
1900/udp,330419
389/udp,296871
123/udp,272699
2000/tcp,253696
135/tcp,213319
389/tcp,204904
993/tcp,184519
88/tcp,147779
67/udp,119388
5228/tcp,109498
137/udp,109443
52311/tcp,86831
10123/tcp,79905
5060/tcp,73470
5985/tcp,72564
11210/tcp,60227
49155/tcp,57351
4500/udp,55546
51014/udp,48051
6200/tcp,41708
5222/tcp,39414
8530/tcp,35867
53/tcp,31820
5003/tcp,30459
49152/tcp,29260
8080/tcp,28678
5061/tcp,27778
2617/tcp,27469
5246/udp,24707
500/udp,23955
138/udp,23498
3478/udp,23299
4001/tcp,23202
5247/udp,23028
6881/udp,21566
5005/tcp,20001
8888/tcp,19671
8014/tcp,17468
1494/tcp,16124
8100/tcp,15397
53787/tcp,14152
161/udp,14151
64287/tcp,14107
60680/tcp,14078
54107/tcp,14061
631/tcp,13186
54132/tcp,13118
21/tcp,12988
49153/tcp,12884
444/tcp,11762
5004/tcp,11166
52311/udp,9777
5357/tcp,8922
7000/tcp,8771
18082/tcp,8214
2869/tcp,8131
57307/tcp,8078
1152/tcp,7922
1521/tcp,7883
10799/tcp,7827
3702/udp,7224
16384/udp,7103
51413/udp,6761
5723/tcp,6583
6432/tcp,6373
3268/tcp,6351
16386/udp,6333
33000/udp,6310
16385/udp,6202
62933/tcp,5820
4070/tcp,5702
22/tcp,5567
1151/tcp,5408
1194/udp,4599
63404/tcp,4466
1194/tcp,4439
54111/tcp,4437
1131/tcp,4421
1153/tcp,4342
57232/tcp,4319
52160/tcp,4315
61565/tcp,4256
53791/tcp,4222
69/udp,4066
57721/tcp,4062
29914/tcp,4058
54136/tcp,4054
8999/tcp,3922
1433/tcp,3795
50299/tcp,3759
1900/tcp,3575
9011/tcp,3374
62454/tcp,3341
1477/tcp,3277
5353/udp,3210
192/udp,3143
7700/tcp,3111
8443/tcp,3065
4160/tcp,3050
8999/udp,3021
10443/tcp,2970
1531/tcp,2814
18550/tcp,2790
6970/tcp,2702
51200/udp,2675
7680/tcp,2648
49154/tcp,2613
10501/tcp,2473
16393/udp,2335
52793/udp,2331
1127/tcp,2286
143/tcp,2241
16500/udp,2182
1154/tcp,2154
8009/tcp,2150
1138/tcp,2149
3851/udp,2145
50321/udp,2132
9092/tcp,2123
81/tcp,2105
995/tcp,1968
53946/udp,1892
7275/tcp,1886
1/udp,1864
19000/udp,1835
22222/udp,1805
8888/udp,1740
6889/udp,1733
17520/tcp,1722
1556/tcp,1697
4244/tcp,1675
8050/tcp,1662
8008/tcp,1617
9021/tcp,1588
50366/udp,1579
10001/tcp,1572
514/udp,1572
49689/udp,1566
49397/tcp,1550
25/tcp,1548
49402/tcp,1546
49408/tcp,1542
3875/tcp,1538
49393/tcp,1528
49411/tcp,1526
49384/tcp,1524
49406/tcp,1520
49401/tcp,1516
80/udp,1514
49392/tcp,1511
49390/tcp,1510
49391/tcp,1508
49380/tcp,1506
49387/tcp,1506
49395/tcp,1503
49409/tcp,1502
49399/tcp,1501
49394/tcp,1500
