name,BYOD_no_yes_maybe,
ZUK Z2 Plus,1,
ZT410,0,
ZMAX Pro,1,
Zmax One,1,
Zmax Champ,1,
Zmax 2,1,
Zmax,1,
Zinger,1,
ZFive 2,1,
ZenFone 4 (ZE554KL),1,
ZenFone 3 Zoom (ZE553KL),1,
ZenFone 3 Max (ZC520TL),1,
ZenFone 3 Laser (ZC551KL),1,
ZenFone 3 Deluxe (ZS570KL),1,
ZenFone 3 (ZE552KL),1,
ZenFone 2 Laser (ZE601KL),1,
ZenFone 2 Laser (ZE551KL),1,
ZenFone 2 (ZE551ML),1,
ZenFone,1,
ZD410,0,
ZBook Studio G3,2,
Z999,1,
Z983,1,
Z982,1,
Z971,1,
Z965,1,
Z956,1,
Z916BL,1,
Z855,1,
Z851M,1,
Z851,1,
Z839,1,
Z836F,1,
Z835,1,
Z833,1,
Z815,1,
Z812,1,
Z669,1,
Z559DL,1,
Z558VL,1,
Z557BL,1,
Z3001S,1,
Z2131,1,
Z10,1,
Z1,1,
Yoga Tab 3,2,
YAL-AL00,1,
Y7 Prime (2018),1,
Y6 II,1,
Y6,1,
Y5 (2017),1,
XT1650,1,
XT1585,1,
XT1565,1,
XT1563,1,
XT1562,1,
XT1254,1,
XT1144,1,
XT1143,1,
XT1068,1,
XT1064,1,
XT1040,1,
Xperia Z5 Premium,1,
Xperia Z5 Compact,1,
Xperia Z5,1,
Xperia Z3,1,
Xperia Z2,1,
Xperia Z1,1,
Xperia XZ1 SO-01K,1,
Xperia XZ1 Compact SO-02K,1,
Xperia XZ1,1,
Xperia XZ Premium SO-04J,1,
Xperia XZ Premium,1,
Xperia XZ,1,
Xperia XA2 Ultra,1,
Xperia XA1 Ultra,1,
Xperia XA1,1,
Xperia XA Ultra,1,
Xperia XA,1,
Xperia X Compact,1,
Xperia X,1,
Xperia Tablet Z,1,
Xperia T LTE,1,
Xperia M4 Aqua,1,
Xperia L1,1,
Xperia E5,1,
Xperia E3,1,
Xperia E1,1,
XP8800,2,
X626,1,
X606,1,
X510,1,
X5,1,
X4,1,
X230,1,
X210,1,
X Power II,1,
X charge,1,
X,2,
WV-SP302,0,
WV-SFN480,0,
Workstation,2,
Wireless Phone 7925,1,
Windows Mobile,1,
Watch Series 4 42mm,1,
Watch Series 4 38mm,1,
Watch Series 3 42mm Cellular,1,
Watch Series 3 42mm,1,
Watch Series 3 38mm Cellular,1,
Watch Series 3 38mm,1,
Watch Series 2 42mm,1,
Watch Series 2 38mm,1,
Watch Series 1 42mm,1,
Watch Series 1 38mm,1,
W-U300,1,
VS996,1,
VS880P,1,
VS501,1,
VR-1541F,1,
VOG-L29,1,
VOG-L04,1,
VOG-AL10,1,
VOG-AL00,1,
VLE5,1,
Vivo Y85A,1,
Vivo Y67A,1,
Vivo Y55L,1,
Vivo XL4,1,
Vivo XI+,1,
Vivo X9,1,
Vivo X7,1,
Vivo X6A,1,
Vivo X5Max+,1,
Vivo X20A,1,
Vivo V3,1,
Vivo One Plus,1,
Vivo 8,1,
Vivo 1820,1,
Vivo 1815,1,
Vivo 1811,1,
Vivo 1808,1,
Vivo 1807,1,
Vivo 1804,1,
Vivo 1801,1,
Vivo 1727,1,
Vivo 1726,1,
Vivo 1723,1,
Vivo 1718,1,
Vivo 1716,1,
Vivo 1714,1,
Vivo 1713,1,
Vivo 1606,1,
Vivo 1601,1,
Vibe K6,1,
Vibe K4 Note,1,
VG350,0,
VCE-AL00,1,
V7A,2,
V530,,
V522,1,
V521,1,
V497,1,
V495,1,
V410,1,
V35 ThinQ,1,
V30+,1,
V30,1,
V20,1,
V1809A,1,
V1732A,1,
V10,2,
V1-C,2,
US998,1,
US997,1,
US700,1,
US610,1,
U683CL,1,
U504TL,1,
U11 life,1,
U11,1,
U Ultra,1,
U Play,1,
Tribute,1,
TP450,1,
TP260,1,
Toughpad FZ-N1,0,
TNY-AL00,1,
TK-E101GC,1,
TECNO K7,1,
TECNO CA6,1,
TC75 Touch Computer,0,
TC700H Touch Computer,0,
TB-X104F,1,
TB-8304F1,1,
Tab 4 8,1,
Tab 3 8,1,
T08,2,
T06,2,
Surgery Workstation,0,
Surface Book,2,
Surface,2,
Stylo 3 Plus,1,
Stylo 3,1,
Stylo 2 Plus,1,
Studio XL,1,
Studio X8 HD,1,
Studio View XL,1,
Studio Mega,1,
Studio M6 LTE,1,
Studio J8,1,
SSD850PRO1TB-679548969317523452S25XNGA0A1330L,2,
SP320,1,
SP200,1,
Sonata 3,1,
SNE-LX3,1,
SNE-LX1,1,
SNE-AL00,1,
SM-T837P SyncML,1,
SM-T820,1,
SM-T560NU,1,
SM-T510,1,
SM-T387W,1,
SM-T387V,1,
SM-T387T,1,
SM-T380,1,
SM-T350,1,
SM-S767VL,1,
SM-S367VL,1,
SM-S357BL,1,
SM-N920V,1,
SM-N920P,1,
SM-M305F,1,
SM-M205F,1,
SM-J727P,1,
SM-J720F,1,
SM-J610G,1,
SM-J610FN,1,
SM-J610F,1,
SM-J600GT,1,
SM-J600G,1,
SM-J600FN,1,
SM-J510GN,1,
SM-J415GN,1,
SM-J415G,1,
SM-J415F,1,
SM-J410G,1,
SM-J400M,1,
SM-J400F,1,
SM-J260T1,1,
SM-J260M,1,
SM-J260AZ,1,
SM-G977U,1,
SM-G977P,1,
SM-G977N,1,
SM-G975XU,1,
SM-G975W,1,
SM-G975U1,1,
SM-G975U,1,
SM-G975F,1,
SM-G9750,1,
SM-G973W,1,
SM-G973U1,1,
SM-G973U,1,
SM-G973F,1,
SM-G9730,1,
SM-G970W,1,
SM-G970U1,1,
SM-G970U,1,
SM-G970F,1,
SM-G965U SyncML,1,
SM-G9550,1,
SM-G935U,1,
SM-G935T,1,
SM-G935P,1,
SM-G935A,1,
SM-G930V,1,
SM-G930U,1,
SM-G930T,1,
SM-G930P,1,
SM-G930A,1,
SM-G928V,1,
SM-G928P,1,
SM-G925V,1,
SM-G925P,1,
SM-G920P,1,
SM-G891A,1,
SM-G887N,1,
SM-A920F,1,
SM-A9200,1,
SM-A750GN,1,
SM-A750G,1,
SM-A750FN,1,
SM-A750F,1,
SM-A705X,1,
SM-A705W,1,
SM-A705MN,1,
SM-A705GM,1,
SM-A705FN,1,
SM-A505X,1,
SM-A505W,1,
SM-A505U,1,
SM-A505GN,1,
SM-A505G,1,
SM-A505F,1,
SM-A405FN,1,
SM-A305YN,1,
SM-A305GN,1,
SM-A305G,1,
SM-A205W,1,
SM-A205U,1,
SM-A205G,1,
SM-A205F,1,
SM-A105M,1,
SM-A105G,1,
SM-A105F,1,
SM-A102U,1,
SKY 5.0Pro II,1,
SKW-A0,1,
SKR-A0,1,
SH-M09,1,
SH-M08,1,
S301,,
S3_Pro,1,
S11 Plus,1,
S1,1,
RMX1825,1,
RMX1805,1,
RMX1801,1,
REVVL Plus,1,
REVVL 2 PLUS,1,
REVVL 2,1,
Redmi4A,1,
Redmi Y2,1,
Redmi S2,1,
Redmi Pro,1,
Redmi Note 7S,1,
Redmi Note 7 Pro,1,
Redmi Note 7,1,
Redmi Note 6 Pro,1,
Redmi Note 5A Prime,1,
Redmi Note 5A,1,
Redmi Note 5 Pro,1,
Redmi Note 5 ,1,
Redmi Note 5,1,
Redmi Note 4X ,1,
Redmi Note 4X,1,
Redmi Note 4 ,1,
Redmi Note 4,1,
Redmi Note 3 ,1,
Redmi Note 3,1,
Redmi Note 2 ,1,
Redmi Note 2,1,
